initial energies / MeV,final energies / MeV,energy losses / MeV
1669.1669166916695,1662.0664468224536,7.100469869215885
2748.5548554855486,2739.4301652608947,9.124690224653932
2928.452845284529,2914.389300751112,14.063544533416916
799.6599659965997,793.5911756473433,6.068790349256346
1369.3369336933692,1359.9145783530655,9.422355340303739
499.82998299829984,497.7449476783133,2.0850353199865594
589.7789778977898,585.6208988728996,4.158079024890185
3857.925792579258,3850.068529885948,7.857262693310076
13212.621262126213,13189.896094719781,22.725167406431865
2208.860886088609,2196.5027140353395,12.3581720532693
